,y,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr,id,year
1,0,1,0,22.5,,,,,,,,5.39,18.8,47.0,Aaron Jones,2017
2,0,1,0,24.4,47.0,24.9,47.0,3.75,0.34375,10.0,0.0,6.3,,3.9,Aaron Ripkowski,2017
3,0,1,0,32.2,260.8,93.7,9.0,10.200000000000001,0.4166666666666667,3.0,0.3333333333333333,1.07,19.5,42.7,Adrian Peterson,2017
5,0,1,0,24.3,19.599999999999998,18.2,16.8,2.45,0.46875,8.0,0.0,,20.5,27.1,Akeem Hunt,2017
7,0,1,0,23.0,,,,,,,,6.08,,3.2,Alex Armah,2017
8,0,1,0,22.8,36.0,36.0,36.0,4.0,0.5625,9.0,0.0,5.34,19.0,29.9,Alex Collins,2017
11,0,1,0,26.1,112.0,90.39999999999999,61.60000000000001,6.166666666666667,0.9166666666666666,14.0,0.0,6.05,21.4,14.4,Alfred Blue,2017
12,0,1,0,28.5,187.2,107.93333333333334,40.6,6.866666666666666,0.9583333333333334,14.0,0.0,6.03,20.7,50.0,Alfred Morris,2017
14,1,1,0,21.9,,,,,,,,3.03,20.1,23.3,Alvin Kamara,2017
15,0,1,0,24.0,116.8,71.8,26.8,10.35,0.5625,2.0,0.0,2.22,19.2,34.6,Ameer Abdullah,2017
16,0,1,0,28.299999999999997,177.60000000000002,94.0,29.400000000000002,8.133333333333335,0.75,14.0,0.0,6.19,21.6,26.0,Andre Ellington,2017
17,0,1,0,24.8,145.6,62.633333333333326,8.7,6.633333333333333,0.6875,1.0,0.0,4.13,19.0,44.8,Andre Williams,2017
18,0,1,0,24.0,18.900000000000002,18.900000000000002,18.900000000000002,2.7,0.4375,7.0,0.0,6.01,,5.7,Andy Janovich,2017
21,0,1,0,28.5,24.0,12.033333333333333,4.8999999999999995,1.3,0.5208333333333334,7.0,0.0,5.05,,3.4,Anthony Sherman,2017
27,0,1,0,22.0,,,,,,,,,18.3,45.7,Austin Ekeler,2017
31,0,1,0,26.9,124.8,74.83333333333333,35.2,5.1000000000000005,0.875,11.0,0.0,,21.2,38.6,Benny Cunningham,2017
